split,prescreen,custom database creation,database index,nucleotide alignment,translated alignment,computing gene families,computing pathways,translated1,translated2
390000,0,9,0,0,2680,23,137,137.0,2542.0
400000,0,9,0,0,2673,22,137,145.0,2527.0
410000,0,9,0,0,2661,23,137,144.0,2516.0
420000,0,9,0,0,2518,22,134,128.0,2389.0
430000,0,9,0,0,2421,21,133,133.0,2288.0
440000,0,9,0,0,2496,23,138,131.0,2365.0
450000,0,9,0,0,2618,22,136,144.0,2473.0
460000,0,9,0,0,2546,22,134,149.0,2396.0
470000,0,9,0,0,2549,22,134,148.0,2401.0
480000,0,9,0,0,2561,22,135,149.0,2412.0
490000,0,9,0,0,2482,22,136,148.0,2334.0
500000,0,9,0,0,2498,22,136,138.0,2360.0
600000,0,9,0,0,2647,27,143,169.0,2476.0
700000,0,9,0,0,2567,26,145,177.0,2388.0
800000,0,9,0,0,2590,24,140,174.0,2415.0
900000,0,9,0,0,2538,27,147,193.0,2343.0
1000000,0,9,0,0,2602,27,140,202.0,2397.0
1100000,0,9,0,0,2481,26,143,215.0,2265.0
1200000,0,9,0,0,2483,25,143,226.0,2257.0
1300000,0,9,0,0,2484,25,139,228.0,2254.0
1400000,0,9,0,0,2447,29,143,234.0,2212.0
1500000,0,9,0,0,2306,25,137,237.0,2068.0
1600000,0,9,0,0,2178,23,138,228.0,1950.0
1700000,0,9,0,0,2376,24,147,259.0,2117.0
1800000,0,9,0,0,2359,25,142,246.0,2111.0
1900000,0,9,0,0,2392,27,138,259.0,2132.0
2000000,0,9,0,0,2330,23,140,269.0,2059.0
2100000,0,9,0,0,2377,25,143,277.0,2100.0
2200000,0,9,0,0,2347,22,148,273.0,2073.0
2300000,0,9,0,0,2428,25,141,288.0,2138.0
2400000,0,9,0,0,2558,26,142,322.0,2234.0
2500000,0,9,0,0,2440,24,143,311.0,2127.0
2600000,0,9,0,0,2347,22,135,321.0,2024.0
2700000,0,9,0,0,2496,26,145,314.0,2179.0
2800000,0,9,0,0,2451,25,140,328.0,2119.0
2900000,0,9,0,0,2383,25,140,323.0,2058.0
3000000,0,9,0,0,2389,28,151,340.0,2047.0
3100000,0,9,0,0,2284,24,139,340.0,1942.0
3200000,0,9,0,0,2359,24,140,359.0,2000.0
3300000,0,9,0,0,2271,24,142,358.0,1913.0
3400000,0,9,0,0,2295,25,148,373.0,1921.0
3500000,0,9,0,0,2337,25,151,400.0,1937.0
3600000,0,9,0,0,2422,24,142,418.0,2002.0
3700000,0,9,0,0,2334,24,142,409.0,1925.0
3800000,0,9,0,0,2328,22,137,411.0,1916.0
3900000,0,9,0,0,2332,24,146,403.0,1927.0
4000000,0,9,0,0,2403,26,140,415.0,1988.0
4100000,0,9,0,0,2405,26,145,435.0,1969.0
4200000,0,9,0,0,2376,23,139,438.0,1938.0
4300000,0,9,0,0,2275,23,142,439.0,1835.0
4400000,0,9,0,0,2405,22,140,432.0,1971.0
4500000,0,9,0,0,2377,23,148,434.0,1942.0
4600000,0,9,0,0,2356,24,141,463.0,1891.0
4700000,0,9,0,0,2369,25,149,469.0,1899.0
4800000,0,9,0,0,2288,22,142,454.0,1834.0
4900000,0,9,0,0,2185,22,141,440.0,1745.0
5000000,0,9,0,0,2190,22,140,451.0,1739.0
5100000,0,9,0,0,2375,24,147,497.0,1876.0
5200000,0,9,0,0,2453,23,140,567.0,1885.0
5300000,0,9,0,0,2435,22,138,554.0,1881.0
5400000,0,9,0,0,2340,22,136,556.0,1783.0
5500000,0,9,0,0,2328,21,134,552.0,1775.0
5600000,0,9,0,0,2443,21,136,591.0,1851.0
5700000,0,9,0,0,2441,21,135,585.0,1855.0
5800000,0,9,0,0,2457,22,141,594.0,1861.0
5900000,0,9,0,0,2491,30,144,598.0,1892.0
6000000,0,9,0,0,2526,29,152,609.0,1914.0
6100000,0,9,0,0,2524,25,142,626.0,1896.0
6200000,0,9,0,0,2516,23,140,627.0,1887.0
6300000,0,9,0,0,2548,22,147,646.0,1899.0
6400000,0,9,0,0,2640,26,148,667.0,1971.0
6500000,0,9,0,0,2622,26,151,665.0,1954.0
6600000,0,9,0,0,2539,30,158,657.0,1880.0
6700000,0,9,0,0,2588,27,152,678.0,1908.0
6900000,0,9,0,0,2504,23,138,676.0,1826.0
7000000,0,9,0,0,2624,25,143,696.0,1926.0
7100000,0,9,0,0,2536,22,141,687.0,1848.0
7200000,0,9,0,0,2504,24,138,704.0,1798.0
7300000,0,9,0,0,2531,24,142,700.0,1829.0
7400000,0,9,0,0,2553,24,139,717.0,1834.0
7500000,0,9,0,0,2590,23,138,724.0,1864.0
7600000,0,9,0,0,2469,23,137,728.0,1739.0
7700000,0,9,0,0,2523,23,140,743.0,1778.0
7800000,0,9,0,0,2586,23,152,772.0,1813.0
7900000,0,9,0,0,2381,23,140,727.0,1654.0
8000000,0,9,0,0,2411,21,136,735.0,1676.0
8100000,0,10,0,0,2457,26,142,741.0,1716.0
8200000,0,9,0,0,2442,22,142,774.0,1667.0
9000000,0,9,0,0,2383,22,146,793.0,1590.0
9100000,0,9,0,0,2393,22,138,811.0,1582.0
9200000,0,9,0,0,2446,22,140,849.0,1597.0
9300000,0,9,0,0,2359,22,148,814.0,1544.0
11900000,0,9,0,0,2493,23,146,995.0,1497.0
12000000,0,9,0,0,2544,24,138,1041.0,1502.0
12100000,0,9,0,0,2483,22,140,1015.0,1468.0
12200000,0,9,0,0,2487,22,138,1020.0,1467.0
12300000,0,9,0,0,2737,26,143,1103.0,1632.0
12400000,0,9,0,0,2698,23,137,1081.0,1616.0
12500000,0,9,0,0,2678,22,138,1103.0,1573.0
12600000,0,9,0,0,2707,25,142,1068.0,1637.0
12700000,0,9,0,0,2722,23,138,1085.0,1637.0
12800000,0,9,0,0,2699,22,137,1102.0,1595.0
12900000,0,9,0,0,2670,23,140,1085.0,1584.0
13000000,0,9,0,0,2683,25,150,1110.0,1572.0
13100000,0,9,0,0,2657,24,145,1099.0,1556.0
13200000,0,9,0,0,2770,24,150,1135.0,1635.0
13300000,0,9,0,0,2722,23,140,1142.0,1579.0
13400000,0,9,0,0,2621,29,147,1128.0,1492.0
13500000,0,9,0,0,2698,33,151,1118.0,1577.0
13600000,0,9,0,0,2732,23,143,1154.0,1577.0
13700000,0,9,0,0,2643,24,142,1116.0,1526.0
13800000,0,9,0,0,2721,24,143,1178.0,1542.0
13900000,0,9,0,0,2693,24,141,1145.0,1546.0
14000000,0,9,0,0,2707,25,150,1196.0,1510.0
